d,L,r,delta,sigma,omega,attention_lmbda,linear_lmbda,alpha,informed,optim,N_iter,informed_position,linear_gen_error_mean,attention_gen_error_mean,attention_train_error_mean,attention_mag_mean,attention_theta_mean
10,2,1,0.4,0.5,0.3,0.01,0.0001,1.5,False,GD,1.0,1.0,0.0026982589468819754,0.00463922800554548,0.050270820319492905,0.16903315884460296,0.16669729553495669
10,2,1,0.4,0.5,0.3,0.01,0.0001,1.5,True,GD,1.0,0.0,0.00314870000138964,0.004239602257210868,0.052886811416862266,0.09072929301299154,0.3807063809077122
15,2,1,0.4,0.5,0.3,0.01,0.0001,1.5,False,GD,1.0,1.0,0.0023579218385968888,0.003956051315743583,0.05728885579098548,0.17280884894941537,0.16579318340957147
15,2,1,0.4,0.5,0.3,0.01,0.0001,1.5,True,GD,1.0,0.0,0.0027914030701773505,0.0037956394241333005,0.06718635916273509,0.08902309672408072,0.3982852707590376
23,2,1,0.4,0.5,0.3,0.01,0.0001,1.5,False,GD,1.0,1.0,0.002425824986921038,0.004277652709960938,0.10039931630917957,0.1942503366938659,0.1491045977039695
23,2,1,0.4,0.5,0.3,0.01,0.0001,1.5,True,GD,1.0,0.0,0.0020532390439714707,0.002866169436427525,0.08193881193612304,0.06359416072152921,0.37287187742335454
36,2,1,0.4,0.5,0.3,0.01,0.0001,1.5,False,GD,1.0,1.0,0.002166181909615653,0.0038679294150216234,0.14088035187040057,0.2145657646230289,0.1258059377742133
36,2,1,0.4,0.5,0.3,0.01,0.0001,1.5,True,GD,1.0,0.0,0.002142782014247349,0.002627666598074777,0.13185707132688593,0.06138018477608317,0.44422930704695834
56,2,1,0.4,0.5,0.3,0.01,0.0001,1.5,False,GD,1.0,1.0,0.001999998303658622,0.0035630953373500278,0.2023439709582499,0.22667862230113575,0.10693836283071766
56,2,1,0.4,0.5,0.3,0.01,0.0001,1.5,True,GD,1.0,0.0,0.00200571883959089,0.0024238377794538225,0.18950979673010962,0.03973251399136124,0.4611627079759325
87,2,1,0.4,0.5,0.3,0.01,0.0001,1.5,False,GD,1.0,1.0,0.0020816511005946566,0.003629476098632813,0.30577033573899953,0.23953538209199904,0.096221547450072
87,2,1,0.4,0.5,0.3,0.01,0.0001,1.5,True,GD,1.0,0.0,0.0019691200781685966,0.0022022542179652624,0.2821015471390315,0.030988912582813232,0.4894372427889279
135,2,1,0.4,0.5,0.3,0.01,0.0001,1.5,False,GD,1.0,1.0,0.002061020641871861,0.0036179371111188614,0.4837272870659828,0.24955220563071115,0.0649504006015403
135,2,1,0.4,0.5,0.3,0.01,0.0001,1.5,True,GD,1.0,0.0,0.002028277326311384,0.0021953011204310824,0.43255636922972546,0.021157343895548755,0.5112336848463331
209,2,1,0.4,0.5,0.3,0.01,0.0001,1.5,False,GD,1.0,1.0,0.0020223558432442804,0.003506514418683733,0.7125598197119576,0.2513896013583456,0.05751508889985935
209,2,1,0.4,0.5,0.3,0.01,0.0001,1.5,True,GD,1.0,0.0,0.0019892373304094585,0.002082036591884068,0.662024396269662,0.02558190249688258,0.5217450068678174
323,2,1,0.4,0.5,0.3,0.01,0.0001,1.5,False,GD,1.0,1.0,0.001988563702392578,0.0034412616271972656,1.0932936854634967,0.2537527693595205,0.043459178116837784
323,2,1,0.4,0.5,0.3,0.01,0.0001,1.5,True,GD,1.0,0.0,0.002044298124040876,0.0020554807272774836,1.0268829890864235,0.017205638830678903,0.5414515376942498
500,2,1,0.4,0.5,0.3,0.01,0.0001,1.5,False,GD,1.0,1.0,0.002002020151192801,0.0034690031267438615,1.686094839007514,0.2564600508979389,0.04021770252709108
500,2,1,0.4,0.5,0.3,0.01,0.0001,1.5,True,GD,1.0,0.0,0.001991937491280692,0.0020206453229631694,1.555549830818176,0.01249358265768803,0.5338241881132126
