,q,m,V,theta,mse,alpha,lambda,Phi
0,0.1294700391615239,1.257408289250022e-08,10.31529225367848,0.17273406853623152,0.0023048128882297014,2.0,0.01,-0.003526815436175907
1,0.06773665289533809,0.21805035664448585,13.470378584393433,6.169452582357089e-06,0.009041816509040235,1.788888888888889,0.01,-0.004725241380251841
2,0.06473618243982764,0.2193217573780612,14.356676064754666,1.4651151928446234e-05,0.008947234068817034,1.577777777777778,0.01,-0.004095868696531911
3,0.0602486085958604,0.22149947194570518,15.237192654871741,2.1639830542722366e-05,0.008807212133187914,1.3666666666666667,0.01,-0.0034920682252740968
4,0.05568372475512859,0.22066151674636592,16.480078412538052,1.1777103117495382e-05,0.008656964267368394,1.1555555555555557,0.01,-0.0029111720261823454
5,0.05005852864690782,0.21796218208216162,17.862151483110953,1.0101388439842719e-05,0.008482228275211057,0.9444444444444444,0.01,-0.0023591382689462743
6,0.04290343313691149,0.21169090914117217,19.595096108107136,1.4660645408194042e-06,0.008294563754394857,0.7333333333333333,0.01,-0.0018321497340482427
7,0.034387728597677164,0.19733222499650915,21.487616336253538,8.718216264279415e-07,0.008173179232648597,0.5222222222222223,0.01,-0.0013299573603752991
8,0.02360821783888389,0.16374371065866325,23.67988894596863,6.648070424852704e-07,0.008329069684250512,0.3111111111111111,0.01,-0.0008399915104399397
9,0.008487760545894141,0.06491327811630146,26.497365026705424,1.2861995626966887e-07,0.009420908567628172,0.1,0.01,-0.00031169689789674435
